timestamp,src_ip,dst_ip,src_port,dst_port,protocol,length,suspicious,suspicious_reason
2026-07-18 00:27:15,192.168.18.71,142.250.202.106,53299,443,HTTPS,66,False,
2026-07-18 00:27:15,34.117.39.58,192.168.18.71,443,59373,HTTPS,66,False,
2026-07-18 00:27:15,192.168.18.71,142.250.202.106,52823,443,UDP,79,False,
2026-07-18 00:27:15,142.250.202.142,192.168.18.71,443,54075,UDP,71,False,
2026-07-18 00:27:15,142.250.202.142,192.168.18.71,443,54075,UDP,69,False,
2026-07-18 00:27:15,142.250.202.106,192.168.18.71,443,53299,HTTPS,66,False,
2026-07-18 00:27:15,192.168.18.71,142.250.202.106,53299,443,HTTPS,54,False,
2026-07-18 00:27:15,192.168.18.71,142.250.202.106,53299,443,HTTPS,1466,False,
2026-07-18 00:27:15,192.168.18.71,142.250.202.106,53299,443,HTTPS,394,False,
2026-07-18 00:27:15,192.168.18.71,142.250.202.142,54075,443,UDP,74,False,
2026-07-18 00:27:15,142.250.202.142,192.168.18.71,443,60683,HTTPS,1466,False,
2026-07-18 00:27:15,142.250.202.142,192.168.18.71,443,60683,HTTPS,1466,False,
2026-07-18 00:27:15,142.250.202.142,192.168.18.71,443,60683,HTTPS,1466,False,
2026-07-18 00:27:15,192.168.18.71,142.250.202.142,60683,443,HTTPS,54,False,
2026-07-18 00:27:15,142.250.202.142,192.168.18.71,443,60683,HTTPS,1466,False,
2026-07-18 00:27:15,142.250.202.142,192.168.18.71,443,60683,HTTPS,648,False,
2026-07-18 00:27:15,192.168.18.71,142.250.202.142,60683,443,HTTPS,54,False,
2026-07-18 00:27:15,192.168.18.71,142.250.202.142,60683,443,HTTPS,118,False,
2026-07-18 00:27:15,142.250.202.106,192.168.18.71,443,53299,HTTPS,54,False,
2026-07-18 00:27:15,192.168.18.71,142.250.202.106,52823,443,UDP,79,False,
2026-07-18 00:27:15,142.250.202.106,192.168.18.71,443,52823,UDP,1292,False,
2026-07-18 00:27:15,142.250.202.142,192.168.18.71,443,60683,HTTPS,54,False,
2026-07-18 00:27:15,142.250.202.106,192.168.18.71,443,52823,UDP,1292,False,
2026-07-18 00:27:15,142.250.202.106,192.168.18.71,443,52823,UDP,1292,False,
2026-07-18 00:27:15,142.250.202.106,192.168.18.71,443,52823,UDP,716,False,
2026-07-18 00:27:15,142.250.202.106,192.168.18.71,443,52823,UDP,83,False,
2026-07-18 00:27:15,142.250.202.142,192.168.18.71,443,60683,HTTPS,670,False,
2026-07-18 00:27:15,192.168.18.71,142.250.202.106,52823,443,UDP,81,False,
2026-07-18 00:27:15,192.168.18.71,142.250.202.106,52823,443,UDP,81,False,
2026-07-18 00:27:15,192.168.18.71,142.250.202.106,52823,443,UDP,141,False,
2026-07-18 00:27:15,192.168.18.71,142.250.202.106,52823,443,UDP,114,False,
2026-07-18 00:27:15,192.168.18.71,142.250.202.106,52823,443,UDP,509,False,
2026-07-18 00:27:15,192.168.18.71,142.250.202.106,52823,443,UDP,186,False,
2026-07-18 00:27:15,103.66.180.185,192.168.18.71,9076,64660,TCP,54,False,
2026-07-18 00:27:15,103.66.180.185,192.168.18.71,9076,64660,TCP,54,False,
2026-07-18 00:27:15,192.168.18.71,103.66.180.185,64660,9076,TCP,54,False,
2026-07-18 00:27:15,142.250.202.106,192.168.18.71,443,52823,UDP,1292,False,
2026-07-18 00:27:15,192.168.18.71,103.66.180.185,64660,9076,TCP,54,False,
2026-07-18 00:27:15,142.250.202.106,192.168.18.71,443,52823,UDP,152,False,
2026-07-18 00:27:15,192.168.18.71,142.250.202.106,52823,443,UDP,220,False,
2026-07-18 00:27:15,192.168.18.71,142.250.202.106,52823,443,UDP,616,False,
2026-07-18 00:27:15,192.168.18.71,103.66.180.185,53300,9076,TCP,66,False,
2026-07-18 00:27:15,142.250.202.142,192.168.18.71,443,54075,UDP,601,False,
2026-07-18 00:27:15,142.250.202.106,192.168.18.71,443,52823,UDP,1060,False,
2026-07-18 00:27:15,142.250.202.106,192.168.18.71,443,52823,UDP,179,False,
2026-07-18 00:27:15,192.168.18.71,142.250.202.106,52823,443,UDP,76,False,
2026-07-18 00:27:15,192.168.18.71,142.250.202.106,52823,443,UDP,75,False,
2026-07-18 00:27:15,142.250.202.142,192.168.18.71,443,54075,UDP,192,False,
2026-07-18 00:27:15,192.168.18.71,142.250.202.142,54075,443,UDP,77,False,
2026-07-18 00:27:15,142.250.202.106,192.168.18.71,443,52823,UDP,69,False,
2026-07-18 00:27:15,192.168.18.71,142.250.202.142,60683,443,HTTPS,54,False,
2026-07-18 00:27:15,192.168.18.71,142.250.202.106,52823,443,UDP,73,False,
2026-07-18 00:27:15,142.250.202.106,192.168.18.71,443,52823,UDP,71,False,
2026-07-18 00:27:15,142.250.202.106,192.168.18.71,443,52823,UDP,69,False,
2026-07-18 00:27:15,192.168.18.71,142.250.202.106,52823,443,UDP,74,False,
2026-07-18 00:27:15,192.168.18.71,57.144.149.32,60508,443,HTTPS,490,False,
2026-07-18 00:27:15,142.250.202.142,192.168.18.71,443,54075,UDP,66,False,
2026-07-18 00:27:15,142.250.202.106,192.168.18.71,443,53299,HTTPS,1466,False,
2026-07-18 00:27:15,142.250.202.106,192.168.18.71,443,53299,HTTPS,1466,False,
2026-07-18 00:27:15,142.250.202.106,192.168.18.71,443,53299,HTTPS,1466,False,
2026-07-18 00:27:15,192.168.18.71,142.250.202.106,53299,443,HTTPS,54,False,
2026-07-18 00:27:15,142.250.202.106,192.168.18.71,443,53299,HTTPS,1466,False,
2026-07-18 00:27:15,142.250.202.106,192.168.18.71,443,53299,HTTPS,1466,False,
2026-07-18 00:27:15,192.168.18.71,142.250.202.106,53299,443,HTTPS,54,False,
2026-07-18 00:27:15,142.250.202.106,192.168.18.71,443,53299,HTTPS,1466,False,
2026-07-18 00:27:15,142.250.202.106,192.168.18.71,443,53299,HTTPS,1466,False,
2026-07-18 00:27:15,192.168.18.71,142.250.202.106,53299,443,HTTPS,54,False,
2026-07-18 00:27:15,142.250.202.106,192.168.18.71,443,53299,HTTPS,1115,False,
2026-07-18 00:27:15,192.168.18.71,142.250.202.106,53299,443,HTTPS,54,False,
2026-07-18 00:27:15,192.168.18.71,142.250.202.106,53299,443,HTTPS,144,False,
2026-07-18 00:27:15,192.168.18.71,84.32.102.196,61711,443,HTTPS,102,False,
2026-07-18 00:27:15,57.144.149.32,192.168.18.71,443,60508,HTTPS,54,False,
2026-07-18 00:27:15,142.250.202.106,192.168.18.71,443,53299,HTTPS,54,False,
2026-07-18 00:27:15,142.250.202.106,192.168.18.71,443,53299,HTTPS,1088,False,
2026-07-18 00:27:16,192.168.18.71,142.250.202.106,53299,443,HTTPS,54,False,
2026-07-18 00:27:16,52.110.18.20,192.168.18.71,443,58853,HTTPS,54,False,
2026-07-18 00:27:16,192.168.18.71,52.110.18.20,58853,443,HTTPS,54,False,
2026-07-18 00:27:16,103.66.180.185,192.168.18.71,9076,64660,TCP,54,False,
2026-07-18 00:27:16,103.66.180.185,192.168.18.71,9076,53300,TCP,66,False,
2026-07-18 00:27:16,192.168.18.71,103.66.180.185,53300,9076,TCP,54,False,
2026-07-18 00:27:16,142.250.202.106,192.168.18.71,443,52823,UDP,353,False,
2026-07-18 00:27:16,142.250.202.106,192.168.18.71,443,52823,UDP,63,False,
2026-07-18 00:27:16,192.168.18.71,142.250.202.106,52823,443,UDP,77,False,
2026-07-18 00:27:16,142.250.202.106,192.168.18.71,443,52823,UDP,83,False,
2026-07-18 00:27:16,142.250.202.106,192.168.18.71,443,52823,UDP,63,False,
2026-07-18 00:27:16,192.168.18.71,142.250.202.106,52823,443,UDP,77,True,Too many connections
2026-07-18 00:27:16,192.168.18.71,142.250.202.106,51202,443,UDP,1292,False,
2026-07-18 00:27:16,192.168.18.71,142.250.202.106,51202,443,UDP,1292,False,
2026-07-18 00:27:16,192.168.18.71,142.250.202.106,51202,443,UDP,1292,False,
2026-07-18 00:27:16,192.168.18.71,142.250.202.106,51202,443,UDP,124,False,
